en-us	bg-bg	cs-cz	da-dk	de-de	el-gr	es-es	et-ee	fi-fi	fr-fr	ga	hr-hr	hu-hu	is-is	it-it	kk-kz	lt-lt	lv-lv	mk-mk	mt-mt	nl-nl	nb-no	pl-pl	pt-pt	ro-ro	ru-ru	sk-sk	sl-si	sq-al	sr-rs	sv-se	tr-tr	uk-ua	zh-cn	bs-ba
Transdermal solution	Трансдермален разтвор	Transdermální roztok	Transdermal opløsning	transdermale Lösung	Διαδερμικό διάλυμα	Solución transdérmica	Transdermaalne lahus	Transdermaaliliuos	Solution transdermique	Tuaslagán trasdeirmeach	Transdermalna otopina	 - 	Lausn til notkunar um húð	Soluzione transdermica	Трансдермальдік ерітінді	Transderminis tirpalas	Transdermālais šķīdums	 - 	 - 	Oplossing voor transdermaal gebruik	Transdermaloppløsning	Roztwór przezskórny	Solução transdérmica	Soluţie transdermică	Раствор трансдермальный	Transdermálny roztok	Transdermalna raztopina	 - 	Transdermalni rastvor	Transdermal lösning	Deri geçişli çözelti	Розчин трансдермальний	 - 	 - 
Transdermal spray, solution	Трансдермален спрей, разтвор	Transdermální sprej, roztok	Transdermalspray, opløsning	transdermales Spray, Lösung	Διαδερμικό εκνέφωμα, διάλυμα	Solución para pulverización transdérmica	Transdermaalne sprei, lahus	Transdermaalisumute, liuos	Solution pour pulvérisation transdermique	Sprae trasdeirmeach, tuaslagán	Transdermalni sprej, otopina	 - 	Úði til notkunar um húð, lausn	Spray transdermico, soluzione	Трансдермальдік бүріккіш,  ерітінді	Transderminis purškalas (tirpalas)	Transdermālais aerosols, šķīdums	 - 	 - 	Spray voor transdermaal gebruik, oplossing	Transdermalspray, oppløsning	Aerozol przezskórny, roztwór	Solução para pulverização transdérmica	Spray transdermic, soluţie	Спрей трансдермальный, раствор	Transdermálny roztokový sprej	Transdermalno pršilo, raztopina	 - 	Transdermalni sprej, rastvor	Transdermal spray, lösning	Deri geçişli sprey, çözelti	Спрей трансдермальний, розчин	 - 	 - 
Transdermal system	Трансдермална система	Transdermální systém	Transdermalt system	transdermales System	Διαδερμικό σύστημα	SISTEMA DE LIBERACIÓN TRANSDÉRMICA	Transdermaalne süsteem	Transdermaalinen valmiste	système transdermique	Córas trasdeirmeach	transdermalni sustav	Transzdermális rendszer	Tæki til lyfjagjafar um húð	Sistema transdermico	Трансдермальдік жүйе	Transderminė sistema	Transdermālā sistēma	 - 	Sistema li tgħaddi l-mediċina minn ġol-ġilda	Systeem voor transdermaal gebruik	Transdermalt system	System transdermalny	Sistema transdérmico	Sistem transdermic	Трансдермальная система	Transdermálny systém	Transdermalni sistem	Sistem transdermal	Transdermalni sistem	Transdermalt system	Transdermal (Deri geçişli) sistem	Трансдермальна система	透皮系统	 - 
Solution for skin-prick test	Разтвор за кожно изпитване чрез убождане	Roztok pro kožní prick test	Priktest, opløsning til	Pricktestlösung	Διάλυμα για έλεγχο με νύξη του δέρματος	SOLUCIÓN PARA PRUEBA CON ALERGENOS POR PUNCIÓN	Naha torketesti lahus	Liuos ihopistotestiin	solution pour prick-test	Tuaslagán le haghaidh sáthástáil craicinn	Otopina za ispitivanje ubodom u kožu	Oldat szúrásos allergiás bőrpróbához	Húðstungupróf, lausn	Soluzione per skin-prick test	Теріге егу тестісіне арналған ерітінді	Tirpalas odos dūrimo testui	Šķīdums ādas dūriena testam	 - 	Soluzzjoni għal test li jsir b’tingiż fil-ġilda	Oplossing voor huidpriktest	Oppløsning til prikktest	Roztwór do skórnych prób punktowych	Solução para teste cutâneo em picada	Soluţie pentru testul prin înţepare	Раствор для кожного инъекционного теста	Roztok na kožný vpichový test	Raztopina za kožni vbodni test	Tretësirë për ekzaminime shpuese në lëkurë	Rastvor za kožni prik-test	Lösning för pricktest	Deri çizme testi çözeltisi	Розчин для скарифікаційного тесту	点刺试验用溶液	Rastvor za kožno ispitivanje ubodom
Solution for skin-scratch test	Разтвор за  изпитване чрез скарификация	Roztok pro kožní scratch test	Skarifikationstest, opløsning til	Scratchtestlösung	Διάλυμα για έλεγχο με σκαριφισμό του δέρματος	SOLUCIÓN PARA PRUEBA CON ALERGENOS POR ESCARIFICACIÓN	Naha skarifikatsioonitesti lahus	Liuos ihon naarmutestiin	solution pour test intradermique	Tuaslagán le haghaidh scríobthástáil craicinn	otopina za ispitivanje grebanjem	Oldat karcolásos allergiás bőrpróbához	Húðrispupróf, lausn	Soluzione per scarificazione	Теріге сызат тестісіне арналған ерітінді	Odos brėžio testo tirpalas	Šķīdums ādas skarifikācijas testam	 - 	Soluzzjoni għal test li jsir permezz ta’ brix fil-ġilda	Oplossing voor intradermale test	Oppløsning til risptest	Roztwór do skórnych prób skaryfikacyjnych	Solução para teste cutâneo por escarificação	Soluţie pentru testul prin scarificare	Раствор для скарификационного теста	Roztok na kožný skarifikačný test	Raztopina za kožni skarifikacijski test	Tretësirë për ekzaminime me gërvishtje në lëkurë	Rastvor za kožni skarifikacioni test	Lösning för risttest	Deri çizik testi çözeltisi	Розчин для скарифікаційного тесту шляхом дряпання	划痕试验用溶液	Rastvor za kožno ispitivanje grebanjem
Plaster for provocation test	Пластир за провокационен тест	Náplast pro provokační test	Plaster til provokationstest	Pflaster für Provokationstest	Επίθεμα για έλεγχο με πρόκληση ερεθισμού	APÓSITO ADHESIVO PARA PRUEBA DE PROVOCACIÓN CON ALERGENOS	Provokatsioonitesti plaaster	Laastari altistustestiin	patch pour test épicutané	Greimlín le haghaidh tástáil gríosaithe	Flaster za ispitivanje provokacijom	Tapasz allergiás próbához	Ertingarpróf, plástur	Cerotto per test di provocazione	Қоздыру тестісіне арналған пластырь	Alerginio testo pleistras	Plāksteris provokācijas testam	 - 	Impjastru li jipprovoka reazzjoni fil-ġisem	Pleister voor provocatietest	Plaster til provokasjonstest	Plaster do prób prowokacyjnych	Emplastro para prova de provocação	Plasture pentru testul de provocare	Пластырь для провокационной пробы	Náplasť na provokačný test	Obliž za provokacijski test	Përbërje medikamentoze ngjitëse për ekzaminime provokuese	Flaster za ispitivanje preosetljivosti	Plåster för provokationstest	Provokasyon testi için flaster	Пластир для провакаційного тесту	激发试验用硬膏剂	Flaster za ispitivanje preosjetljivosti
Concentrate for solution for intraocular irrigation	Концентрат за разтвор за вътреочна промивка	Koncentrát pro roztok k nitroočnímu výplachu	Koncentrat til intraokulær skyllevæske, opløsning	Konzentrat zur Herstellung einer Lösung zur intraokularen Anwendung	Πυκνό σκεύασμα για παρασκευή διαλύματος για ενδοφθάλμια έκπλυση	Concentrado para solución para irrigación intraocular	Intraokulaarse loputuslahuse kontsentraat	Konsentraatti huuhtelunestettä varten, silmän sisään	Solution à diluer pour solution pour irrigation intraoculaire	Tiúchán le haghaidh tuaslagáin le haghaidh uisciú ionsúileach	Koncentrat za otopinu za intraokularni irigat	 - 	Þykkni fyrir lausn til skolunar innan auga	Concentrato per soluzione per irrigazione intraoculare	 - 	Koncentratas akių plovimo tirpalui	Koncentrāts intraokulāra skalošanas šķīduma pagatavošanai	 - 	 - 	Concentraat voor oplossing voor intraoculaire spoeling	Konsentrat til intraokulær skyllevæske, oppløsning	Koncentrat do sporządzania roztworu do irygacji śródgałkowej	Concentrado para solução para irrigação intraocular	Concentrat pentru soluţie de irigare intraoculară	Концентрат для приготовления раствора ля интраокулярного орошения	Koncentrát na roztok na vnútroočný výplach	Koncentrat za raztopino za intraokularno izpiranje	 - 	Koncentrat za rastvor za intraokularnu irigaciju	Koncentrat till spolvätska, lösning för intraokulär användning	Konsantre intraoküler (göz içi) yıkama çözeltisi	 - 	 - 	Koncentrat za rastvor za intraokularno ispiranje
Eye cream	Крем за очи	Oční krém	Øjencreme	Augencreme	Οφθαλμική κρέμα	Crema oftálmica	Silmakreem	Silmävoide, creme	Crème ophtalmique	Uachtar súl	Krema za oko	Szemkrém	Augnkrem	Crema oftalmica	Көз кремі	Akių kremas	Acu krēms	Крем за око	Krema għall-għajnejn	Oogcrème	Øyekrem	Krem do oczu	Creme oftálmico	Cremă oftalmică	Крем глазной	Očný krém	Krema za oko	Krem për sy	Krem za oči	Ögonkräm	Göz kremi	Крем очний	眼用乳膏	Krema za oči
Eye gel	Гел за очи	Oční gel	Øjengel	Augengel	Οφθαλμική γέλη	Gel oftálmico	Silmageel	Silmägeeli	Gel ophtalmique	Glóthach súl	Gel za oko	Szemgél	Augnhlaup	Gel oftalmico	Көз гелі	Akių gelis	Acu gels	Гел за око	Ġell għall-għajnejn	Ooggel	Øyegel	Żel do oczu	Gel oftálmico	Gel oftalmic	Гель глазной	Očný gél	Gel za oko	Xhel për sy	Gel za oči	Ögongel	Göz jeli	Гель очний	眼用凝胶	Gel za oči
Eye ointment	Маз за очи	Oční mast	Øjensalve	Augensalbe	Οφθαλμική αλοιφή	Pomada oftálmica	Silmasalv	Silmävoide	Pommade ophtalmique	Ungadh súl	Mast za oko	Szemkenőcs	Augnsmyrsli	Unguento oftalmico	Көз жақпамайы	Akių tepalas	Acu ziede	Маст за око	Ingwent għall-għajnejn	Oogzalf	Øyesalve	Maść do oczu	Pomada oftálmica	Unguent oftalmic	Мазь глазная	Očná masť	Mazilo za oko	Pomadë për sy	Mast za oči	Ögonsalva	Göz merhemi	Мазь очна	眼膏	Mast za oči
Eye drops, solution	Капки за очи, разтвор	Oční kapky, roztok	Øjendråber, opløsning	Augentropfen, Lösung	Οφθαλμικές σταγόνες, διάλυμα	Colirio en solución	Silmatilgad, lahus	Silmätipat, liuos	Collyre en solution	Braonta súl, tuaslagán	Kapi za oko, otopina	Oldatos szemcsepp	Augndropar, lausn	Collirio, soluzione	Көзге арналған тамшылар, ерітінді	Akių lašai (tirpalas)	Acu pilieni, šķīdums	Капки за око, раствор	Qtar għall-għajnejn, soluzzjoni	Oogdruppels, oplossing	Øyedråper, oppløsning	Krople do oczu, roztwór	Colírio, solução	Picături oftalmice, soluţie	Капли глазные, раствор	Očné roztokové kvapky	Kapljice za oko, raztopina	Tretësirë për pika në sy	Kapi za oči, rastvor	Ögondroppar, lösning	Göz damlası, çözelti	Краплі очні, розчин	溶液型滴眼液	Kapi za oči , rastvor
Eye drops, emulsion	Капки за очи, емулсия	Oční kapky, emulze	Øjendråber, emulsion	Augentropfen, Emulsion	Οφθαλμικές σταγόνες, γαλάκτωμα	Colirio en emulsión	Silmatilgad, emulsioon	Silmätipat, emulsio	Collyre en émulsion	Braonta súl, eibleacht	Kapi za oko, emulzija	Emulziós szemcsepp	Augndropar, fleyti	Collirio, emulsione	Көзге арналған тамшылар, эмульсия	Akių lašai (emulsija)	Acu pilieni, emulsija	 - 	Qtar għall-għajnejn, emulsjoni	Oogdruppels, emulsie	Øyedråper, emulsjon	Krople do oczu, emulsja	Colírio, emulsão	 - 	Капли глазные, эмульсия	Očné emulzné kvapky	Kapljice za oko, emulzija	Emulsion për pika në sy	Kapi za oči, emulzija	Ögondroppar, emulsion	Göz damlası, emülsiyon	Краплі очні, емульсія	乳状液型滴眼液	Kapi za oči, emulzija
Eye drops, suspension	Капки за очи, суспензия	Oční kapky, suspenze	Øjendråber, suspension	Augentropfensuspension	Οφθαλμικές σταγόνες, εναιώρημα	Colirio en suspensión	Silmatilgad, suspensioon	Silmätipat, suspensio	Collyre en suspension	Braonta súl, fuaidreán	Kapi za oko, suspenzija	Szuszpenziós szemcsepp	Augndropar, dreifa	Collirio, sospensione	Көзге арналған тамшылар, суспензия	Akių lašai (suspensija)	Acu pilieni, suspensija	Капки за око, суспензиjа	Qtar għall-għajnejn, suspensjoni	Oogdruppels, suspensie	Øyedråper, suspensjon	Krople do oczu, zawiesina	Colírio, suspensão	Picături oftalmice, suspensie	Капли глазные, суспензия	Očné suspenzné kvapky	Kapljice za oko, suspenzija	Pezulli për pika në sy	Kapi za oči, suspenzija	Ögondroppar, suspension	Göz damlası, süspansiyon	Краплі очні, суспензія	混悬型滴眼液	Kapi za oči, suspenzija
Eye drops, solvent for reconstitution	Капки за очи, разтворител за приготвяне	Oční kapky, rozpouštědlo pro rekonstituci	Solvens til rekonstitution af øjendråber	Lösungsmittel zur Herstellung von Augentropfen	Οφθαλμικές σταγόνες, διαλύτης για ανασύσταση	Disolvente para reconstitución de colirio	Silmatilkade lahusti	Silmätipat, liuotin käyttövalmiiksi valmistamista varten	Solvant pour collyre	Braonta súl, tuaslagóir le haghaidh athbhunaithe	Kapi za oko, otapalo za rekonstituciju	Oldószer szemcsepphez	Leysir fyrir augndropa	Solvente per collirio	Көзге арналған тамшылар дайындау үшін еріткіш	Akių lašų tirpiklis	Acu pilieni, šķīdinātājs sagatavošanai	Капки за око, вехикулум за реконституциjа	Qtar għall-għajnejn, solvent għar-rikostituzzjoni	Oogdruppels, reconstitutievloeistof	Rekonstitueringsvæske til øyedråper	Rozpuszczalnik do kropli do oczu	Solvente/veículo para colírio	Solvent oftalmic pentru reconstituire	Капли глазные, растворитель для растворения	Rozpúšťadlo na očné kvapky	Vehikel za kapljice za oko	Tretës për pika në sy	Rastvarač za rekonstituciju kapi za oči	Vätska för beredning av ögondroppar	Göz damlası, hazırlama çözücüsü	Краплі очні, розчинник для розчинення	滴眼液配制溶剂	Rastvarač za izradu kapi za oči
Eye lotion	Лосион за очи	Oční voda	Øjenbadevand	Augenbad	Οφθαλμικό πλύμα	Baño ocular	Silmaloputuslahus	Silmävesi	Solution pour lavage ophtalmique	Ionlach súl	Losion za oko	Szemöblítő	Augnskol	Bagno oculare	Көз дымқылдатқыш	Akių losjonas	Acu losjons	Лосион за око	Lożjoni għall-għajnejn	Oogwassing	Øyebadevann	Roztwór do oczu	Solução para lavagem oftálmica	Soluţie pentru baie oculară	Лосьон глазной	Očný loción	Raztopina za izpiranje očesa	Locion për sy	Losion za oči	Ögonsköljvätska	Göz losyonu	Лосьйон очний	洗眼剂	Losion za oči
Eye lotion, solvent for reconstitution	Лосион за очи, разтворител за приготвяне	Oční voda, rozpouštědlo pro rekonstituci	Solvens til rekonstitution af øjenbadevand	Lösungsmittel zur Herstellung eines Augenbades	Οφθαλμικό πλύμα, διαλύτης για ανασύσταση	Disolvente para reconstitución de baño ocular	Silmaloputuslahuse lahusti	Silmävesi, liuotin käyttövalmiiksi valmistamista varten	Solvant pour solution pour lavage ophtalmique	Ionlach súl, tuaslagóir le haghaidh athbhunaithe	Losion za oko, otapalo za rekonstituciju	Oldószer szemöblítőhöz	Leysir fyrir augnskol	Solvente per bagno oculare	Көз дымқылдатқыш дайындауға арналған еріткіш	Akių losjono tirpiklis	Acu losjons, šķīdinātājs sagatavošanai	Лосион за око, вехикулум за реконституциjа	Lożjoni għall-għajnejn, solvent għar-rikostituzzjoni	Oogwassing, reconstitutievloeistof	Rekonstitueringsvæske til øyebadevann	Rozpuszczalnik do sporządzania roztworu do oczu	Solvente para solução para lavagem oftálmica	Solvent pentru baie oculară	Лосьон глазной, растворитель для растворения	Rozpúšťadlo na očný loción	Vehikel za raztopino za izpiranje očesa	Tretës për locion për sy	Rastvarač za rekonstituciju losiona za oči	Vätska för beredning av ögonsköljvätska	Göz losyonu, hazırlama çözücüsü	Лосьйон очний, розчинник для розчинення	洗眼剂配制溶剂	Rastvarač za izradu losiona za oči
Ophthalmic insert	Очна пластинка	Oční inzert	Øjenlamel	Augeninsert	Σκεύασμα ενδοφθαλμικής εισαγωγής	Inserto oftálmico	Silmainsert	Silmälamelli	Insert ophtalmique	Ionsáiteán oftalmach	Oftalmološki umetak	Szemészeti gyógyszeres lemezke	Augninnlegg	Inserto oftalmico	Офтальмологиялық салма	Akių įdėklas	Acu ieliktnis	Офталмички инсерт	Inserzjoni għall-għajnejn	Ooginsert	Øyelamell	Wkładka do oczu	Inserto oftálmico	Insert oftalmic	Вкладка офтальмологическая	Očný inzert	Vstavek za oko	Sistem terapeutik për sy	Oftalmološki insert	Ögonlamell	Göz diski	Вкладка офтальмологічна	眼内插入剂	Oftalmološki umetak
Ophthalmic strip	Очна лента	Oční proužek	Øjenstrip	Teststreifen zur Anwendung am Auge	Οφθαλμική ταινία	Tira oftálmica	Silmaravimliistak	Ohutlamelli silmään	Bandelette ophtalmique	Stiall oftalmach	Oftalmološka traka	 - 	Augnstrimill	Striscia oftalmica	Офтальмологиялық жолақша	Akių juostelė	Acu plāksnīte	 - 	 - 	Oogstrip	Øyestrip	Wkładka do oczu	Tira oftálmica	Bandă oftalmică	Полоска офтальмологическая	Očný pásik	Trak za oko	Shirit oftalmik	Oftalmološka traka	Ögonremsa	Göz şeridi	Смужка офтальмологічна	 - 	Oftalmološka traka
Ear cream	Крем за уши	Ušní krém	Ørecreme	Ohrencreme	Ωτική κρέμα	Crema ótica	Kõrvakreem	Korvavoide, creme	Crème auriculaire	Uachtar cluaise	Krema za uho	Fülkrém	Eyrnakrem	Crema auricolare	Құлақ кремі	Ausų kremas	Ausu krēms	Крем за уво	Krema għall-widnejn	Oorcrème	Ørekrem	Krem do uszu	Creme auricular	Cremă auriculară	Крем ушной	Ušný krém	Krema za uho	Krem për veshë	Krem za uši	Öronkräm	Kulak kremi	Крем вушний	耳用乳膏	Krema za uši
Ear gel	Гел за уши	Ušní gel	Øregel	Ohrengel	Ωτική γέλη	Gel ótico	Kõrvageel	Korvageeli	Gel auriculaire	Glóthach cluaise	Gel za uho	Fülgél	Eyrnahlaup	Gel auricolare	Құлақ гелі	Ausų gelis	Ausu gels	Гел за уво	Ġell għall-widnejn	Oorgel	Øregel	Żel do uszu	Gel auricular	Gel auricular	Гель ушной	Ušný gél	Gel za uho	Xhel për veshë	Gel za uši	Örongel	Kulak jeli	Гель вушний	耳用凝胶	Gel za uši
Ear ointment	Маз за уши	Ušní mast	Øresalve	Ohrensalbe	Ωτική αλοιφή	Pomada ótica	Kõrvasalv	Korvavoide	Pommade auriculaire	Ungadh cluaise	Mast za uho	Fülkenőcs	Eyrnasmyrsli	Unguento auricolare	Құлақ жақпамайы	Ausų tepalas	Ausu ziede	Маст за уво	Ingwent għall-widnejn	Oorzalf	Øresalve	Maść do uszu	Pomada auricular	Unguent auricular	Мазь ушная	Ušná masť	Mazilo za uho	Pomadë për veshë	Mast za uši	Öronsalva	Kulak merhemi	Мазь вушна	耳用软膏	Mast za uši
Ear drops, solution	Капки за уши, разтвор	Ušní kapky, roztok	Øredråber, opløsning	Ohrentropfen, Lösung	Ωτικές σταγόνες, διάλυμα	Gotas óticas en solución	Kõrvatilgad, lahus	Korvatipat, liuos	Solution auriculaire en gouttes	Braonta cluaise, tuaslagán	Kapi za uho, otopina	Oldatos fülcsepp	Eyrnadropar, lausn	Gocce auricolari, soluzione	Құлаққа арналған тамшылар, ерітінді	Ausų lašai (tirpalas)	Ausu pilieni, šķīdums	Капки за уво, раствор	Qtar għall-widnejn, soluzzjoni	Oordruppels, oplossing	Øredråper, oppløsning	Krople do uszu, roztwór	Gotas auriculares, solução	Picături auriculare, soluţie	Капли ушные, раствор	Ušné roztokové kvapky	Kapljice za uho, raztopina	Tretësirë për pika për veshë	Kapi za uši, rastvor	Örondroppar, lösning	Kulak damlası, çözelti	Краплі вушні, розчин	滴耳液	Kapi za uši, rastvor
Ear drops, suspension	Капки за уши, суспензия	Ušní kapky, suspenze	Øredråber, suspension	Ohrentropfen, Suspension	Ωτικές σταγόνες, εναιώρημα	Gotas óticas en suspensión	Kõrvatilgad, suspensioon	Korvatipat, suspensio	Suspension auriculaire en gouttes	Braonta cluaise, fuaidreán	Kapi za uho, suspenzija	Szuszpenziós fülcsepp	Eyrnadropar, dreifa	Gocce auricolari, sospensione	Құлаққа арналған тамшылар, суспензия	Ausų lašai (suspensija)	Ausu pilieni, suspensija	Капки за уво, суспензиjа	Qtar għall-widnejn, suspensjoni	Oordruppels, suspensie	Øredråper, suspensjon	Krople do uszu, zawiesina	Gotas auriculares, suspensão	Picături auriculare, suspensie	Капли ушные, суспензия	Ušné suspenzné kvapky	Kapljice za uho, suspenzija	Pezulli për pika për veshë	Kapi za uši, suspenzija	Örondroppar, suspension	Kulak damlası, süspansiyon	Краплі вушні,суспензія	混悬液型滴耳液	Kapi za uši, suspenzija
Ear drops, emulsion	Капки за уши, емулсия	Ušní kapky, emulze	Øredråber, emulsion	Ohrentropfen, Emulsion	Ωτικές σταγόνες, γαλάκτωμα	Gotas óticas en emulsión	Kõrvatilgad, emulsioon	Korvatipat, emulsio	Emulsion auriculaire en gouttes	Braonta cluaise, eibleacht	Kapi za uho, emulzija	Emulziós fülcsepp	Eyrnadropar, fleyti	Gocce auricolari, emulsione	Құлаққа арналған тамшылар, эмульсия	Ausų lašai (emulsija)	Ausu pilieni, emulsija	Капки за уво, емулзиjа	Qtar għall-widnejn, emulsjoni	Oordruppels, emulsie	Øredråper, emulsjon	Krople do uszu, emulsja	Gotas auriculares, emulsão	Picături auriculare, emulsie	Капли ушные, эмульсия	Ušné emulzné kvapky	Kapljice za uho, emulzija	Emulsion për pika për veshë	Kapi za uši, emulzija	Örondroppar, emulsion	Kulak damlası, emülsiyon	Краплі вушні, емульсія	乳状液型滴耳液	Kapi za uši, emulzija
Ear powder	Прах за уши	Ušní zásyp	Ørepudder	Ohrenpulver	Ωτική κόνις	Polvo ótico	Kõrvapulber	Korvajauhe	Poudre auriculaire	Púdar cluaise	Prašak za uho	Fülhintőpor	Eyrnaduft	Polvere auricolare	Құлақ ұнтағы	Ausų milteliai	Ausu pulveris	Прашок за уво	Trab għall-widnejn	Oorpoeder	Ørepulver	Proszek do uszu	Pó auricular	Pulbere auriculară	Порошок ушной	Ušný prášok	Prašek za uho	Pluhur për veshë	Prašak za uši	Öronpulver	Kulak tozu	Порошок вушний	耳用散	Prašak za uši
Ear spray, solution	Спрей за уши, разтвор	Ušní sprej, roztok	Ørespray, opløsning	Ohrenspray, Lösung	Ωτικό εκνέφωμα, διάλυμα	Solución para pulverización ótica	Kõrvasprei, lahus	Korvasumute, liuos	Solution pour pulvérisation auriculaire	Sprae cluaise, tuaslagán	Sprej za uho, otopina	Oldatos fülspray	Eyrnaúði, lausn	Spray auricolare, soluzione	Құлаққа бүріккіш, ерітінді	Ausų purškalas (tirpalas)	Ausu aerosols, šķīdums	Спреj за уво, раствор	Sprej għall-widnejn, soluzzjoni	Oorspray, oplossing	Ørespray, oppløsning	Aerozol do uszu, roztwór	Solução para pulverização auricular	Spray auricular, soluţie	Спрей ушной, раствор	Ušný roztokový sprej	Pršilo za uho, raztopina	Tretësirë për sprucim në vesh	Sprej za uši, rastvor	Öronspray, lösning	Kulak spreyi, çözelti	Спрей вушний, розчин	溶液型耳用喷雾剂	Sprej za uši, rastvor
Ear spray, suspension	Спрей за уши, суспензия	Ušní sprej, suspenze	Ørespray, suspension	Ohrenspray, Suspension	Ωτικό εκνέφωμα, εναιώρημα	Suspensión para pulverización ótica	Kõrvasprei, suspensioon	Korvasumute, suspensio	Suspension pour pulvérisation auriculaire	Sprae cluaise, fuaidreán	Sprej za uho, suspenzija	Szuszpenziós fülpermet	Eyrnaúði, dreifa	Spray auricolare, sospensione	Құлаққа бүріккіш, суспензия	Ausų purškalas (suspensija)	Ausu aerosols, suspensija	Спреj за уво, суспензиjа	Sprej għall-widnejn, suspensjoni	Oorspray, suspensie	Ørespray, suspensjon	Aerozol do uszu, zawiesina	Suspensão para pulverização auricular	Spray auricular, suspensie	Спрей ушной, суспензия	Ušný suspenzný sprej	Pršilo za uho, suspenzija	Pezulli për sprucim në vesh	Sprej za uši, suspenzija	Öronspray, suspension	Kulak spreyi, süspansiyon	Спрей вушний, суспензія	混悬液型耳用喷雾剂	Sprej za uši, suspenzija
Ear spray, emulsion	Спрей за уши, емулсия	Ušní sprej, emulze	Ørespray, emulsion	Ohrenspray, Emulsion	Ωτικό εκνέφωμα, γαλάκτωμα	Emulsión para pulverización ótica	Kõrvasprei, emulsioon	Korvasumute, emulsio	Emulsion pour pulvérisation auriculaire	Sprae cluaise, eibleacht	Sprej za uho, emulzija	Emulziós fülpermet	Eyrnaúði, fleyti	Spray auricolare, emulsione	Құлаққа бүріккіш, эмульсия	Ausų purškalas (emulsija)	Ausu aerosols, emulsija	Спреj за уво, емулзиjа	Sprej għall-widnejn, emulsjoni	Oorspray, emulsie	Ørespray, emulsjon	Aerozol do uszu, emulsja	Emulsão para pulverização auricular	Spray auricular, emulsie	Спрей ушной, эмульсия	Ušný emulzný sprej	Pršilo za uho, emulzija	Emulsion për sprucim në vesh	Sprej za uši, emulzija	Öronspray, emulsion	Kulak spreyi, emülsiyon	Спрей вушний, емульсія	乳状液型耳用喷雾剂	Sprej za uši, emulzija
Ear wash, solution	Промивка за уши, разтвор	Ušní výplach, roztok	Øreskyllevæske, opløsning	Ohrenspüllösung	Ωτικό πλύμα, διάλυμα	Solución para lavado ótico	Kõrvaloputuslahus	Korvahuuhde, liuos	Solution pour lavage auriculaire	Folcadh cluaise, tuaslagán	Otopina za ispiranje uha	Fülmosó oldat	Eyrnaskol, lausn	Lavaggio auricolare, soluzione	Құлақты жуатын ерітінді	Ausų ploviklis (tirpalas)	Ausu skalojamais līdzeklis, šķīdums	Раствор за промивање уво	Likwidu għall-ħasil tal-widnejn, soluzzjoni	Oorspoeling, oplossing	Øreskyllevæske, oppløsning	Roztwór do przemywania uszu	Solução para lavagem auricular	Soluţie pentru spălări auriculare	Промывание для слухового прохода, раствор	Ušný roztokový výplach	Tekočina za izpiranje ušesa, raztopina	Tretësirë për larje veshi	Rastvor za ispiranje uha	Öronsköljvätska, lösning	Kulak yıkama çözeltisi	Промивка вушна, розчин	洗耳液	Rastvor za ispiranje ušiju
Ear wash, emulsion	Промивка за уши, емулсия	Ušní výplach, emulze	Øreskyllevæske, emulsion	Ohrenspülung, Emulsion	Ωτικό πλύμα, γαλάκτωμα	Emulsión para lavado ótico	Kõrvaloputusemulsioon	Korvahuuhde, emulsio	Emulsion pour lavage auriculaire	Folcadh cluaise, eibleacht	Emulzija za ispiranje uha	Fülmosó emulzió	Eyrnaskol, fleyti	Lavaggio auricolare, emulsione	Құлақты жуатын эмульсия	Ausų ploviklis (emulsija)	Ausu skalojamais līdzeklis, emulsija	Емулзиjа за промивање уво	Likwidu għall-ħasil tal-widnejn, emulsjoni	Oorspoeling, emulsie	Øreskyllevæske, emulsjon	Emulsja do przemywania uszu	Emulsão para lavagem auricular	Emulsie pentru spălări auriculare	Промывание для слухового прохода, эмульсия	Ušný emulzný výplach	Tekočina za izpiranje ušesa, emulzija	Emulsion për larje veshi	Emulzija za ispiranje uha	Öronsköljvätska, emulsion	Kulak yıkama emülsiyonu	Промивка вушна, емульсія	乳状液型洗耳液	Emulzija za ispiranje ušiju
Ear tampon	Тампон за уши	Ušní tampon	Øretampon	Ohrentampon	Ωτικό βύσμα	Tampón ótico	Kõrvatampoon	Korvatamponi	Tampon auriculaire	Súitín cluaise	Tampon za uho	Fültampon	Eyrnatappi	Tampone auricolare	Құлақтық тампон	Ausų tamponas	Auss tampons	Тампон за уво	Tampun għall-widnejn	Oortampon	Øretampong	Tampon do uszu	Tampão auricular	Tampon auricular	Тампон ушной	Ušný tampón	Tampon za uho	Tampon për veshë	Tampon za uho	Örontampong	Kulak tamponu	Тампони вушні	耳塞剂	Tampon za uši
Ear stick	Пръчица за уши	Ušní tyčinka	Ørestift	Ohrenstäbchen	Ωτικό ραβδίο	Barra ótica	Kõrvapulk	Korvapuikko	Bâton pour usage auriculaire	Cipín cluaise	Štapić za uho	Gyógyszeres fülpálcika	Eyrnastifti	Bastoncino auricolare	Құлақ тазалағыш	Ausų lazdelė	Ausu nūjiņa	Стапче за уво	Stikka għall-widnejn	Oorstift	Ørestift	Pręcik do uszu	Lápis auricular	Creion auricular	Палочка ушная	Ušná tyčinka	Palčka za uho	Shkopth për veshë	Štapić za uho	Öronstift	Kulak çubuğu	Палички вушні	耳栓	Štapić za uši
